$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	44-15@3.2-243: Ferris Rd  Melton Hwy@24.7	15	243	808	751	1	39	16	10.00	9.81	31.40	12.60	10.53	1.15	1.17	7.21	0.95	0.08	LOS_A	1	0.00	5.06
1	3600-7200	44-421: Ferris Rd@65.5-20@13.7	421	20	373	362	2	6	3	11.62	11.53	21.64	15.57	7.66	0.89	0.86	8.71	0.79	0.00	LOS_B	2	33.26	150.14
1	3600-7200	44-421: Ferris Rd@65.5-243: Ferris Rd  Melton Hwy@24.7	421	243	1229	1111	2	69	47	33.87	33.48	28.95	36.89	38.77	3.56	3.67	0.90	2.64	2.26	LOS_D	4	63.70	235.90
1	3600-7200	44-682@3.6-420: Ferris Rd@19.2	682	420	555	495	0	43	17	30.24	29.97		29.72	39.53	3.86	3.87		3.29	5.26	LOS_D	4	53.88	447.73
1	3600-7200	44-10393@15.0-19@37.7	10393	19	128	122	0	6	0	6.13	6.05		7.82		0.49	0.51		0.00		LOS_A	1	17.03	195.26
1	3600-7200	44-10393@15.0-420: Ferris Rd@19.2	10393	420	906	861	1	24	20	27.57	26.74	3.92	34.68	55.94	4.58	4.39	0.00	5.61	11.59	LOS_D	4	17.03	195.26
1	3600-7200	44			3999	3702	6	187	103	24.15	23.59	22.75	28.28	36.94	3.00	2.98	4.41	2.68	4.16	LOS_C	3	33.57	447.73
1	3600-7200	45-499: Zone connector@162.8-95: Melton Hwy@35.1	499	95	220	220	0	0	0	0.41	0.41				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-499: Zone connector@162.8-307: Melton Hwy@9.5	499	307	175	152	0	15	8	0.26	0.27		0.17	0.17	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-677: Melton Hwy@21.4-307: Melton Hwy@9.5	677	307	676	613	0	40	23	0.78	0.77		0.93	0.63	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-677: Melton Hwy@21.4-500: Zone connector@16.0	677	500	119	119	0	0	0	4.71	4.71				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@11.3-95: Melton Hwy@35.1	680	95	933	863	2	46	22	1.32	1.22	3.98	2.47	2.85	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@11.3-363: Gateway Dr@7.0	680	363	35	32	0	1	2	6.66	6.38		8.03	10.49	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@11.3-500: Zone connector@16.0	680	500	124	112	0	7	5	4.03	3.70		6.40	8.22	0.01	0.00		0.00	0.18	LOS_A	1	0.00	0.00
1	3600-7200	45-681: Gateway Dr@258.9-95: Melton Hwy@35.1	681	95	2	2	0	0	0	0.03	0.03				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45			2284	2113	2	109	60	1.40	1.34	3.98	1.89	2.34	0.00	0.00	0.00	0.00	0.01	LOS_A	1	0.00	0.00
1	3600-7200	46-12: Hopkins Rd@68.7-44: Hopkins Rd@23.1	12	44	1160	1027	3	74	56	6.36	6.16	1.45	8.49	7.55	0.14	0.13	0.00	0.31	0.12	LOS_A	1	4.73	138.48
1	3600-7200	46-12: Hopkins Rd@68.7-104@37.0	12	104	282	257	1	11	13	7.72	7.58	1.91	8.70	10.15	0.50	0.52	0.00	0.07	0.54	LOS_A	1	4.73	138.48
1	3600-7200	46-12: Hopkins Rd@68.7-428@34.4	12	428	24	24	0	0	0	7.06	7.06				0.70	0.70				LOS_A	1	4.73	138.48
1	3600-7200	46-12: Hopkins Rd@68.7-1243: Hopkins Rd@4.1	12	1243	0	0	0	0	0											LOS_A		4.73	138.48
1	3600-7200	46-255: Hopkins Rd@16.9-44: Hopkins Rd@23.1	255	44	0	0	0	0	0											LOS_A		1.00	39.21
1	3600-7200	46-255: Hopkins Rd@16.9-104@37.0	255	104	357	341	0	6	8	4.91	4.63		10.18	13.93	1.61	1.46		4.69	6.31	LOS_A	1	1.00	39.21
1	3600-7200	46-255: Hopkins Rd@16.9-428@34.4	255	428	22	22	0	0	0	0.64	0.64				0.00	0.00				LOS_A	1	1.00	39.21
1	3600-7200	46-255: Hopkins Rd@16.9-1243: Hopkins Rd@4.1	255	1243	647	599	1	25	22	1.77	1.75	5.59	1.62	2.48	0.19	0.21	0.00	0.00	0.00	LOS_A	1	1.00	39.21
1	3600-7200	46-257@10.6-44: Hopkins Rd@23.1	257	44	760	699	3	47	11	0.93	0.82	4.45	2.11	2.35	0.04	0.04	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	46-257@10.6-104@37.0	257	104	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-257@10.6-428@34.4	257	428	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-257@10.6-1243: Hopkins Rd@4.1	257	1243	637	576	3	43	15	0.70	0.57	3.68	1.50	2.51	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	46-429@91.6-44: Hopkins Rd@23.1	429	44	140	140	0	0	0	2.23	2.23				0.27	0.27				LOS_A	1	0.00	0.00
1	3600-7200	46-429@91.6-104@37.0	429	104	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-429@91.6-428@34.4	429	428	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	46-429@91.6-1243: Hopkins Rd@4.1	429	1243	16	16	0	0	0	0.80	0.80				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	46			4045	3701	11	206	125	3.49	3.33	3.29	4.80	6.28	0.27	0.26	0.00	0.25	0.51	LOS_A	1	1.43	138.48
1	3600-7200	47-4: Caroline Springs Blvd@6.8-212: Caroline Springs Blvd@4.7	4	212	829	737	2	55	33	1.87	1.83	0.59	1.74	1.88	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.01	32.10
1	3600-7200	47-4: Caroline Springs Blvd@6.8-446@6.0	4	446	11	11	0	0	0	0.60	0.60				0.00	0.00				LOS_A	1	0.01	32.10
1	3600-7200	47-447@32.5-212: Caroline Springs Blvd@4.7	447	212	3	3	0	0	0	1.03	1.03				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	47-887: Caroline Springs Blvd@16.4-448@12.1	887	448	1517	1415	3	61	36	0.76	0.71	1.95	1.29	1.80	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	47			2360	2166	5	116	69	1.15	1.09	1.41	1.51	1.84	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	32.10
1	3600-7200	49-351: Delma Rd@85.2-352: Eucumbene Dr@37.8	351	352	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	49-351: Delma Rd@85.2-506: Zone connector@80.7	351	506	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	49-353: Eucumbene Dr@275.9-350: Delma Rd@23.2	353	350	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	49-353: Eucumbene Dr@275.9-506: Zone connector@80.7	353	506	130	123	0	7	0	1.33	1.15		4.44		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	49-505: Zone connector@77.8-350: Delma Rd@23.2	505	350	52	52	0	0	0	0.18	0.18				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	49-505: Zone connector@77.8-352: Eucumbene Dr@37.8	505	352	9	9	0	0	0	0.05	0.05				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	49			191	184	0	7	0	0.95	0.82		4.44		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	50-115: Western Hwy@22.9-209: Ballarat Rd  Western Hwy@28.7	115	209	489	454	0	19	16	0.73	0.67		1.38	1.71	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50-115: Western Hwy@22.9-283: Christies Rd@7.9	115	283	106	89	0	9	8	3.57	2.83		3.99	11.36	0.82	0.70		0.00	3.14	LOS_A	1	0.00	0.00
1	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-114: Western Hwy@17.3	461	114	1379	1296	2	54	27	29.81	29.09	4.25	39.16	47.84	6.70	6.63	0.00	8.31	7.25	LOS_D	4	81.87	428.61
1	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-209: Ballarat Rd  Western Hwy@28.7	461	209	32	32	0	0	0	3.77	3.77				0.00	0.00				LOS_A	1	72.59	400.39
1	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-215: Caroline Springs Blvd@5.8	461	215	521	504	0	9	8	3.08	2.99		5.04	6.48	0.00	0.00		0.00	0.00	LOS_A	1	81.87	428.61
1	3600-7200	50-648: Christies Rd@37.8-114: Western Hwy@17.3	648	114	174	159	1	8	6	12.29	11.49	2.90	25.80	17.07	0.87	0.89	0.00	0.78	0.65	LOS_B	2	0.27	27.17
1	3600-7200	50-648: Christies Rd@37.8-209: Ballarat Rd  Western Hwy@28.7	648	209	125	96	0	14	15	10.70	9.93		12.48	13.98	0.00	0.00		0.00	0.00	LOS_B	2	0.00	0.00
1	3600-7200	50-648: Christies Rd@37.8-215: Caroline Springs Blvd@5.8	648	215	558	514	1	29	12	1.72	1.63	2.21	2.70	2.99	0.03	0.04	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50-649@8.2-283: Christies Rd@7.9	649	283	358	295	1	37	25	3.58	3.41	3.78	4.82	3.69	0.44	0.50	0.00	0.24	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50-651@22.8-215: Caroline Springs Blvd@5.8	651	215	438	397	2	23	16	3.15	2.96	5.75	4.38	5.80	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50-652: Caroline Springs Blvd@21.4-114: Western Hwy@17.3	652	114	210	204	0	3	3	9.86	9.76		5.36	21.33	0.95	0.97		0.00	0.73	LOS_A	1	0.14	26.11
1	3600-7200	50-652: Caroline Springs Blvd@21.4-209: Ballarat Rd  Western Hwy@28.7	652	209	141	129	0	7	5	8.73	8.66		8.84	10.48	0.07	0.07		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50-652: Caroline Springs Blvd@21.4-283: Christies Rd@7.9	652	283	480	406	2	45	25	9.12	8.86	1.11	9.80	13.20	2.59	2.47	0.00	2.81	4.61	LOS_A	1	0.14	26.11
1	3600-7200	50			5011	4575	9	257	166	11.64	11.45	3.46	13.54	14.70	2.22	2.22	0.00	2.30	2.06	LOS_B	2	17.21	428.61
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-10: Ballarat Rd  Western Hwy@18.5	7	10	57	52	0	3	2	0.59	0.64		0.00	0.00	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-385: Chisholm Dr@11.7	7	385	6	6	0	0	0	5.26	5.26				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-670: Ballarat Rd  Western Hwy@1.4	7	670	78	77	0	0	1	43.24	42.82			75.60	9.58	9.46			18.76	LOS_E	5	0.00	0.00
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-671: Panamax Rd@7.5	7	671	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	51-347: Panamax Rd@4.8-10: Ballarat Rd  Western Hwy@18.5	347	10	430	414	0	9	7	66.45	65.50		67.80	120.87	32.09	31.54		28.43	69.21	LOS_F	6	0.00	0.00
1	3600-7200	51-347: Panamax Rd@4.8-385: Chisholm Dr@11.7	347	385	46	46	0	0	0	59.78	59.78				24.58	24.58				LOS_F	6	0.00	0.00
1	3600-7200	51-347: Panamax Rd@4.8-670: Ballarat Rd  Western Hwy@1.4	347	670	445	429	1	10	5	112.71	112.95	218.38	106.55	83.27	54.47	54.84	92.86	48.50	26.83	LOS_F	6	165.81	249.56
1	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-10: Ballarat Rd  Western Hwy@18.5	360	10	576	515	0	32	29	1.98	1.92		2.34	2.68	0.01	0.01		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-385: Chisholm Dr@11.7	360	385	107	95	0	6	6	6.16	5.83		7.77	9.70	0.04	0.05		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-671: Panamax Rd@7.5	360	671	104	101	0	2	1	4.89	4.85		4.97	9.01	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	51-673: Chisholm Dr@12.9-10: Ballarat Rd  Western Hwy@18.5	673	10	97	96	0	1	0	0.49	0.50		0.00		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	51-673: Chisholm Dr@12.9-670: Ballarat Rd  Western Hwy@1.4	673	670	26	26	0	0	0	17.01	17.01				0.88	0.88				LOS_C	3	0.00	0.00
1	3600-7200	51-673: Chisholm Dr@12.9-671: Panamax Rd@7.5	673	671	8	8	0	0	0	30.92	30.92				6.60	6.60				LOS_D	4	0.00	0.00
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-10: Ballarat Rd  Western Hwy@18.5	885	10	0	0	0	0	0											LOS_A		39.99	164.53
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-385: Chisholm Dr@11.7	885	385	114	111	0	2	1	13.41	13.51		11.89	4.60	2.24	2.30		0.00	0.00	LOS_B	2	39.99	164.53
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-670: Ballarat Rd  Western Hwy@1.4	885	670	1693	1547	2	90	54	55.98	55.53	19.36	59.86	63.64	10.31	10.28	0.00	10.44	11.31	LOS_F	6	39.99	164.53
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-671: Panamax Rd@7.5	885	671	257	240	0	11	6	47.10	47.29		39.98	52.48	9.38	9.75		2.89	6.12	LOS_E	5	39.99	164.53
1	3600-7200	51			4044	3763	3	166	112	48.56	48.69	85.70	46.13	46.78	14.87	15.15	30.95	10.31	11.47	LOS_E	5	29.40	249.56
1	3600-7200	52-928: Melton Hwy@4.6-182@17.4	928	182	539	475	0	37	25	7.15	7.08		8.76	6.04	0.89	0.88		1.46	0.31	LOS_A	1	0.00	0.00
1	3600-7200	52-928: Melton Hwy@4.6-308: Ferris Rd  Melton Hwy@32.8	928	308	829	786	0	27	16	3.99	3.96		4.58	4.28	0.26	0.27		0.13	0.00	LOS_A	1	0.00	0.00
1	3600-7200	52-2259: Ferris Rd  Melton Hwy@16.4-182@17.4	2259	182	434	369	2	37	26	9.88	9.54	12.65	11.13	12.79	0.09	0.10	0.00	0.03	0.10	LOS_A	1	0.00	0.00
1	3600-7200	52-2259: Ferris Rd  Melton Hwy@16.4-200: Melton Hwy@86.6	2259	200	1602	1492	1	71	37	7.74	7.58	10.07	9.86	10.18	0.06	0.06	0.00	0.02	0.05	LOS_A	1	0.00	0.00
1	3600-7200	52-2260@38.7-200: Melton Hwy@86.6	2260	200	163	152	0	6	5	9.19	8.84		13.51	14.63	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	52-2260@38.7-308: Ferris Rd  Melton Hwy@32.8	2260	308	206	198	1	3	4	0.79	0.69	4.05	2.75	3.67	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	52			3773	3472	4	181	113	6.76	6.56	9.86	9.11	9.00	0.22	0.22	0.00	0.33	0.11	LOS_A	1	0.00	0.00
1	3600-7200	54-526: Ferris Rd@22.5-310@35.3	526	310	43	41	0	2	0	8.76	8.74		9.20		0.05	0.05		0.00		LOS_A	1	33.07	182.99
1	3600-7200	54-526: Ferris Rd@22.5-421: Ferris Rd@15.4	526	421	14	12	0	1	1	9.07	8.06		24.50	5.74	0.83	0.00		11.69	0.00	LOS_A	1	33.07	182.99
1	3600-7200	54-526: Ferris Rd@22.5-525: Ferris Rd@18.9	526	525	1405	1304	1	64	36	12.87	12.89	11.19	8.67	19.76	1.48	1.51	0.00	0.30	2.48	LOS_B	2	33.07	182.99
1	3600-7200	54-527: Zone connector@58.2-310@35.3	527	310	1	1	0	0	0	13.05	13.05				0.00	0.00				LOS_B	2	56.39	217.78
1	3600-7200	54-527: Zone connector@58.2-421: Ferris Rd@15.4	527	421	1554	1435	4	69	46	21.44	21.11	11.37	22.73	30.43	3.88	3.91	1.65	3.18	4.24	LOS_C	3	56.39	217.78
1	3600-7200	54-528@5.7-421: Ferris Rd@15.4	528	421	34	26	0	5	3	7.83	7.64		10.14	5.63	0.08	0.00		0.53	0.00	LOS_A	1	0.00	0.00
1	3600-7200	54-528@5.7-525: Ferris Rd@18.9	528	525	3	3	0	0	0	4.58	4.58				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	54			3054	2822	5	141	86	17.09	16.93	11.33	15.72	24.81	2.66	2.69	1.32	1.79	3.31	LOS_C	3	29.82	217.78
1	3600-7200	58-600: Leakes Rd@50.8-273@50.4	600	273	298	281	0	13	4	8.48	8.36		9.86	12.26	0.04	0.04		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	58-600: Leakes Rd@50.8-437: Leakes Rd@57.3	600	437	1079	1029	3	23	23	1.36	1.30	2.09	2.67	2.35	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	58-1263: Leakes Rd@68.4-271: Leakes Rd@68.8	1263	271	1559	1502	6	30	20	7.96	7.98	8.33	7.77	7.29	0.82	0.84	0.00	0.28	0.14	LOS_A	1	0.00	0.00
1	3600-7200	58-1263: Leakes Rd@68.4-273@50.4	1263	273	784	734	4	25	21	8.67	8.49	14.37	7.84	15.08	1.21	1.19	0.86	0.38	3.15	LOS_A	1	0.00	0.00
1	3600-7200	58-2374@24.3-271: Leakes Rd@68.8	2374	271	390	363	1	14	12	8.45	8.12	16.03	12.14	13.39	0.05	0.05	0.00	0.00	0.00	LOS_A	1	0.09	31.99
1	3600-7200	58-2374@24.3-437: Leakes Rd@57.3	2374	437	522	489	0	19	14	1.93	1.83		2.89	3.95	0.01	0.01		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	58			4632	4398	14	124	94	5.94	5.85	9.27	6.80	8.31	0.49	0.49	0.25	0.15	0.73	LOS_A	1	0.02	31.99
1	3600-7200	59-271: Leakes Rd@308.5-401: Leakes Rd@28.9	271	401	1947	1863	7	44	32	1.26	1.20	3.77	2.37	2.88	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	59-443@92.7-270: Leakes Rd@21.8	443	270	193	193	0	0	0	0.24	0.24				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	59-443@92.7-442@13.5	443	442	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	59-605: Leakes Rd@52.6-270: Leakes Rd@21.8	605	270	1184	1117	3	36	27	1.34	1.30	1.06	1.76	1.90	0.04	0.04	0.00	0.00	0.00	LOS_A	1	0.03	15.51
1	3600-7200	59-605: Leakes Rd@52.6-442@13.5	605	442	36	36	0	0	0	4.20	4.20				0.69	0.69				LOS_A	1	0.03	15.51
1	3600-7200	59			3360	3209	10	80	59	1.27	1.21	2.96	2.09	2.43	0.02	0.02	0.00	0.00	0.00	LOS_A	1	0.01	15.51
1	3600-7200	60-604: Leakes Rd@15.4-398: Taylors Rd@22.2	604	398	115	115	0	0	0	5.65	5.65				0.19	0.19				LOS_A	1	0.07	16.24
1	3600-7200	60-604: Leakes Rd@15.4-402: Leakes Rd@47.2	604	402	723	677	3	23	20	2.38	2.36	1.05	1.57	4.02	0.04	0.02	0.00	0.00	0.90	LOS_A	1	0.00	0.00
1	3600-7200	60-604: Leakes Rd@15.4-2146@35.1	604	2146	80	79	0	1	0	9.10	9.07		11.19		0.24	0.24		0.00		LOS_A	1	0.00	0.00
1	3600-7200	60-606: Leakes Rd@70.2-402: Leakes Rd@47.2	606	402	362	341	0	13	7	2.17	2.09		3.08	3.91	0.08	0.09		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	60-607: Taylors Rd@70.4-400: Leakes Rd@76.7	607	400	107	107	0	0	0	3.24	3.24				0.04	0.04				LOS_A	1	0.00	0.00
1	3600-7200	60-607: Taylors Rd@70.4-2146@35.1	607	2146	74	74	0	0	0	0.38	0.38				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60-938: Leakes Rd@26.8-398: Taylors Rd@22.2	938	398	901	874	0	17	9	4.98	4.88		6.87	8.95	0.02	0.02		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	60-938: Leakes Rd@26.8-400: Leakes Rd@76.7	938	400	709	667	7	17	18	2.76	2.61	4.24	7.46	3.60	0.30	0.30	0.00	0.84	0.00	LOS_A	1	0.00	0.00
1	3600-7200	60-938: Leakes Rd@26.8-402: Leakes Rd@47.2	938	402	22	22	0	0	0	9.12	9.12				0.20	0.20				LOS_A	1	0.00	0.00
1	3600-7200	60-938: Leakes Rd@26.8-2146@35.1	938	2146	315	300	0	10	5	4.80	4.69		8.98	3.34	1.55	1.48		4.25	0.00	LOS_A	1	1.35	80.88
1	3600-7200	60-2148@10.0-398: Taylors Rd@22.2	2148	398	32	32	0	0	0	0.25	0.25				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60-2148@10.0-402: Leakes Rd@47.2	2148	402	113	113	0	0	0	4.06	4.06				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60-12471@13.8-400: Leakes Rd@76.7	12471	400	53	53	0	0	0	4.18	4.18				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	60			3606	3454	10	81	59	3.63	3.58	3.28	5.20	4.57	0.23	0.22	0.00	0.70	0.31	LOS_A	1	0.18	80.88
1	3600-7200	61-539: Leakes Rd@105.5-438: Leakes Rd@42.1	539	438	564	540	1	16	7	0.94	0.90	2.55	1.77	1.94	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	61-863: Leakes Rd@80.4-265@25.0	863	265	350	340	1	3	6	13.53	13.38	15.12	16.27	20.36	1.23	1.22	0.00	0.00	2.47	LOS_B	2	0.00	0.00
1	3600-7200	61-863: Leakes Rd@80.4-435: Leakes Rd@21.2	863	435	1244	1171	2	39	31	9.11	9.00	2.26	11.74	10.50	0.31	0.30	0.00	0.89	0.16	LOS_A	1	0.00	0.00
1	3600-7200	61-2344: Leakes Rd@29.9-265@25.0	2344	265	566	518	2	29	15	4.15	3.96	2.52	4.72	10.07	0.71	0.61	0.00	0.30	5.17	LOS_A	1	28.67	117.97
1	3600-7200	61-2344: Leakes Rd@29.9-438: Leakes Rd@42.1	2344	438	1781	1697	9	40	34	3.62	3.57	6.11	4.15	4.94	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	61-2345@108.7-435: Leakes Rd@21.2	2345	435	1286	1257	1	16	10	3.65	3.65	2.70	3.80	3.06	0.16	0.17	0.00	0.00	0.00	LOS_A	1	2.13	80.75
1	3600-7200	61			5791	5523	16	143	103	5.20	5.12	5.31	6.28	7.87	0.25	0.23	0.00	0.30	0.94	LOS_A	1	6.16	117.97
1	3600-7200	62-267: Ian Cowie Way@65.6-264: Leakes Rd@17.3	267	264	2	2	0	0	0	1.24	1.24				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	62-267: Ian Cowie Way@65.6-434: Leakes Rd@22.8	267	434	15	15	0	0	0	8.90	8.90				3.37	3.37				LOS_A	1	0.00	0.00
1	3600-7200	62-538: Leakes Rd@89.6-264: Leakes Rd@17.3	538	264	278	276	0	2	0	1.89	1.88		3.60		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	62-538: Leakes Rd@89.6-268: Ian Cowie Way@17.3	538	268	11	11	0	0	0	0.82	0.82				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	62-864: Leakes Rd@39.3-268: Ian Cowie Way@17.3	864	268	3	3	0	0	0	11.07	11.07				1.87	1.87				LOS_B	2	1.76	126.42
1	3600-7200	62-864: Leakes Rd@39.3-434: Leakes Rd@22.8	864	434	407	385	4	12	6	28.09	28.30	46.18	2.41	53.54	19.46	19.56	40.85	0.00	37.63	LOS_D	4	1.76	126.42
1	3600-7200	62			716	692	4	14	6	16.95	16.75	46.18	2.58	53.54	11.14	10.96	40.85	0.00	37.63	LOS_C	3	0.59	126.42
1	3600-7200	63-374: Westcott Pde@100.7-263: Leakes Rd@9.1	374	263	62	62	0	0	0	0.41	0.41				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	63-374: Westcott Pde@100.7-372: Leakes Rd@14.9	374	372	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	63-542: Leakes Rd@34.5-372: Leakes Rd@14.9	542	372	242	240	0	2	0	0.67	0.66		1.74		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	63-542: Leakes Rd@34.5-375: Westcott Pde@26.6	542	375	38	38	0	0	0	1.18	1.18				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	63-543: Leakes Rd@6.7-263: Leakes Rd@9.1	543	263	348	326	4	12	6	1.11	1.16	0.41	0.30	0.74	0.11	0.12	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	63-543: Leakes Rd@6.7-375: Westcott Pde@26.6	543	375	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	63			690	666	4	14	6	0.90	0.91	0.41	0.51	0.74	0.06	0.06	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	66-622: Neales Rd W@45.9-34: Neales Rd W@23.0	622	34	157	155	0	0	2	3.67	3.64			6.37	0.00	0.00			0.00	LOS_A	1	0.00	0.00
1	3600-7200	66-622: Neales Rd W@45.9-232: Hopkins Rd@6.6	622	232	540	489	0	26	23	4.77	4.67		5.64	5.51	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	66-622: Neales Rd W@45.9-910: Melton Hwy@16.2	622	910	24	24	0	0	0	3.14	3.14				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	66-897: Hopkins Rd@12.7-34: Neales Rd W@23.0	897	34	593	550	4	24	15	5.47	5.31	11.19	6.86	7.61	0.10	0.10	0.01	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	66-897: Hopkins Rd@12.7-35: Neales Rd W@48.6	897	35	450	427	0	20	3	5.87	5.75		7.99	9.07	0.14	0.14		0.14	0.00	LOS_A	1	0.00	0.00
1	3600-7200	66-897: Hopkins Rd@12.7-910: Melton Hwy@16.2	897	910	705	678	2	19	6	2.39	2.36	2.25	3.38	2.82	0.03	0.01	0.00	0.62	0.00	LOS_A	1	0.00	0.00
1	3600-7200	66-908: Melton Hwy@9.4-34: Neales Rd W@23.0	908	34	3	3	0	0	0	321.41	321.41				296.38	296.38				LOS_F	6	28.57	69.33
1	3600-7200	66-908: Melton Hwy@9.4-35: Neales Rd W@48.6	908	35	7	7	0	0	0	1.29	1.29				0.00	0.00				LOS_A	1	28.57	69.33
