$MOVEMENTEVALUATION:SIMRUN	TIMEINT	MOVEMENT	MOVEMENT\FROMLINK	MOVEMENT\TOLINK	VEHS(ALL)	VEHS(10)	VEHS(20)	VEHS(30)	VEHS(40)	VEHDELAY(ALL)	VEHDELAY(10)	VEHDELAY(20)	VEHDELAY(30)	VEHDELAY(40)	STOPDELAY(ALL)	STOPDELAY(10)	STOPDELAY(20)	STOPDELAY(30)	STOPDELAY(40)	LOS(ALL)	LOSVAL(ALL)	QLEN	QLENMAX
1	3600-7200	43-28: Troups Rd N@6.9-13: Western Hwy@23.8	28	13	6	6	0	0	0	0.07	0.07				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	43-609: Western Hwy@95.9-13: Western Hwy@23.8	609	13	1693	1600	7	68	18	1.54	1.53	1.45	1.82	1.10	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	43-609: Western Hwy@95.9-27: Troups Rd N@5.6	609	27	123	113	0	6	2	1.73	1.62		2.95	3.06	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	43-944: Western Hwy@45.8-73: Western Hwy@23.3	944	73	1200	1029	27	87	56	0.08	0.08	0.04	0.06	0.09	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	43			3022	2748	34	161	76	0.96	0.99	0.33	0.91	0.41	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-15@3.2-243: Ferris Rd  Melton Hwy@24.7	15	243	424	395	0	22	6	23.21	22.97		24.95	32.61	14.68	14.71		12.56	22.75	LOS_C	3	9.28	59.19
1	3600-7200	44-421: Ferris Rd@65.5-20@13.7	421	20	34	31	0	1	2	1.67	1.55		3.11	2.92	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	44-421: Ferris Rd@65.5-243: Ferris Rd  Melton Hwy@24.7	421	243	333	295	0	24	14	22.77	22.77		20.95	25.89	13.44	13.55		12.52	12.66	LOS_C	3	8.03	69.40
1	3600-7200	44-682@3.6-420: Ferris Rd@19.2	682	420	224	200	0	20	4	0.29	0.30		0.21	0.14	0.00	0.00		0.00	0.00	LOS_A	1	1.65	47.25
1	3600-7200	44-10393@15.0-19@37.7	10393	19	105	101	0	4	0	35.13	34.97		39.16		26.24	26.21		26.96		LOS_D	4	7.44	66.58
1	3600-7200	44-10393@15.0-420: Ferris Rd@19.2	10393	420	213	199	0	8	6	10.14	10.21		10.69	6.80	4.62	4.74		3.95	1.62	LOS_B	2	7.44	66.58
1	3600-7200	44			1333	1221	0	79	32	17.55	17.58		16.47	18.92	10.83	10.97		9.06	10.11	LOS_B	2	5.28	69.40
1	3600-7200	45-499: Zone connector@162.8-95: Melton Hwy@35.1	499	95	103	103	0	0	0	26.56	26.56				18.81	18.81				LOS_C	3	3.97	44.70
1	3600-7200	45-499: Zone connector@162.8-307: Melton Hwy@9.5	499	307	81	71	0	8	2	1.46	1.53		0.97	0.83	0.13	0.15		0.00	0.00	LOS_A	1	0.01	6.03
1	3600-7200	45-677: Melton Hwy@21.4-307: Melton Hwy@9.5	677	307	301	275	0	19	7	7.81	7.64		7.96	14.30	3.25	3.22		2.04	7.38	LOS_A	1	1.79	43.58
1	3600-7200	45-677: Melton Hwy@21.4-500: Zone connector@16.0	677	500	66	66	0	0	0	1.39	1.39				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@11.3-95: Melton Hwy@35.1	680	95	378	357	0	15	6	3.67	3.60		4.76	4.87	1.09	1.12		0.57	0.37	LOS_A	1	6.03	48.98
1	3600-7200	45-680: Melton Hwy@11.3-363: Gateway Dr@7.0	680	363	2	2	0	0	0	1.92	1.92				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	45-680: Melton Hwy@11.3-500: Zone connector@16.0	680	500	75	71	0	4	0	48.24	48.30		47.19		37.56	37.81		32.99		LOS_D	4	6.03	48.98
1	3600-7200	45-681: Gateway Dr@258.9-95: Melton Hwy@35.1	681	95	1	1	0	0	0	58.94	58.94				51.93	51.93				LOS_E	5	0.07	5.40
1	3600-7200	45			1007	946	0	46	15	10.29	10.38		9.11	8.73	6.16	6.31		3.90	3.59	LOS_B	2	1.70	48.98
1	3600-7200	46-12: Hopkins Rd@73.6-44: Hopkins Rd@23.1	12	44	341	296	2	25	18	3.65	3.50	0.51	3.38	6.69	0.33	0.38	0.00	0.00	0.01	LOS_A	1	0.75	33.80
1	3600-7200	46-12: Hopkins Rd@73.6-104@37.0	12	104	120	108	0	4	8	1.87	1.83		3.98	1.47	0.03	0.03		0.00	0.00	LOS_A	1	0.37	33.80
1	3600-7200	46-12: Hopkins Rd@73.6-428@34.4	12	428	13	13	0	0	0	3.55	3.55				0.03	0.03				LOS_A	1	0.75	33.80
1	3600-7200	46-12: Hopkins Rd@73.6-1243: Hopkins Rd@4.3	12	1243	0	0	0	0	0											LOS_A		0.75	33.80
1	3600-7200	46-255: Hopkins Rd@17.0-44: Hopkins Rd@23.1	255	44	0	0	0	0	0											LOS_A		0.01	8.56
1	3600-7200	46-255: Hopkins Rd@17.0-104@37.0	255	104	46	43	0	1	0	1.04	1.04		1.26		0.00	0.00		0.00		LOS_A	1	0.01	8.56
1	3600-7200	46-255: Hopkins Rd@17.0-428@34.4	255	428	12	12	0	0	0	0.64	0.64				0.00	0.00				LOS_A	1	0.01	8.56
1	3600-7200	46-255: Hopkins Rd@17.0-1243: Hopkins Rd@4.3	255	1243	223	201	1	13	8	0.84	0.80	1.67	0.87	1.79	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.01	8.56
1	3600-7200	46-257@11.2-44: Hopkins Rd@23.1	257	44	73	58	0	15	0	5.29	4.88		6.89		1.05	1.10		0.86		LOS_A	1	0.17	25.59
1	3600-7200	46-257@11.2-104@37.0	257	104	0	0	0	0	0											LOS_A		0.17	25.59
1	3600-7200	46-257@11.2-428@34.4	257	428	0	0	0	0	0											LOS_A		0.17	25.59
1	3600-7200	46-257@11.2-1243: Hopkins Rd@4.3	257	1243	107	104	0	3	0	3.04	2.97		5.53		0.65	0.67		0.01		LOS_A	1	0.22	28.38
1	3600-7200	46-429@91.6-44: Hopkins Rd@23.1	429	44	57	57	0	0	0	4.18	4.18				1.10	1.10				LOS_A	1	0.10	13.01
1	3600-7200	46-429@91.6-104@37.0	429	104	9	9	0	0	0	1.59	1.59				0.00	0.00				LOS_A	1	0.10	13.01
1	3600-7200	46-429@91.6-428@34.4	429	428	0	0	0	0	0											LOS_A		0.10	13.01
1	3600-7200	46-429@91.6-1243: Hopkins Rd@4.3	429	1243	7	7	0	0	0	2.47	2.47				0.35	0.35				LOS_A	1	0.10	13.01
1	3600-7200	46			1008	908	3	61	34	2.72	2.59	0.90	3.82	4.31	0.33	0.35	0.00	0.21	0.01	LOS_A	1	0.20	33.80
1	3600-7200	47-4: Caroline Springs Blvd@6.8-212: Caroline Springs Blvd@4.6	4	212	327	293	0	18	14	0.56	0.36		0.63	2.24	0.03	0.00		0.00	0.76	LOS_A	1	0.00	0.00
1	3600-7200	47-4: Caroline Springs Blvd@6.8-446@6.0	4	446	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	47-447@32.5-212: Caroline Springs Blvd@4.6	447	212	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	47-887: Caroline Springs Blvd@16.4-212: Caroline Springs Blvd@4.6	887	212	11	11	0	0	0	4.25	4.25				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	47-887: Caroline Springs Blvd@16.4-448@12.1	887	448	670	645	0	17	6	0.36	0.36		0.15	0.10	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	47			1008	949	0	35	20	0.47	0.41		0.40	1.60	0.01	0.00		0.00	0.53	LOS_A	1	0.00	0.00
1	3600-7200	48-67: Meskos Rd@199.5-12: Hopkins Rd@2.0	67	12	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	48-67: Meskos Rd@199.5-252: Hopkins Rd@3.1	67	252	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	48-251: Hopkins Rd@11.8-12: Hopkins Rd@2.0	251	12	474	417	2	29	26	0.05	0.04	0.07	0.15	0.10	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	48-251: Hopkins Rd@11.8-66: Meskos Rd@6.0	251	66	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	48-1243: Hopkins Rd@76.3-66: Meskos Rd@6.0	1243	66	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	48-1243: Hopkins Rd@76.3-252: Hopkins Rd@3.1	1243	252	337	312	1	16	8	0.14	0.14	0.00	0.06	0.14	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	48			811	729	3	45	34	0.09	0.08	0.05	0.12	0.11	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	49-351: Delma Rd@85.2-352: Eucumbene Dr@37.8	351	352	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	49-351: Delma Rd@85.2-506: Zone connector@80.7	351	506	1	1	0	0	0	0.12	0.12				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	49-353: Eucumbene Dr@275.9-350: Delma Rd@23.2	353	350	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	49-353: Eucumbene Dr@275.9-506: Zone connector@80.7	353	506	63	60	0	3	0	0.00	0.00		0.00		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	49-505: Zone connector@77.8-350: Delma Rd@23.2	505	350	28	28	0	0	0	0.11	0.11				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	49-505: Zone connector@77.8-352: Eucumbene Dr@37.8	505	352	6	6	0	0	0	0.00	0.00				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	49			98	95	0	3	0	0.03	0.03		0.00		0.00	0.00		0.00		LOS_A	1	0.00	0.00
1	3600-7200	50-115: Western Hwy@22.9-209: Ballarat Rd  Western Hwy@28.7	115	209	335	313	0	13	9	30.81	30.75		38.67	21.56	23.01	23.17		26.73	12.23	LOS_C	3	11.14	106.62
1	3600-7200	50-115: Western Hwy@22.9-283: Christies Rd@7.9	115	283	28	20	0	4	4	67.20	57.39		93.26	90.22	55.86	47.55		77.66	75.61	LOS_E	5	11.14	106.62
1	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-114: Western Hwy@17.3	461	114	383	364	0	10	9	22.77	22.69		22.07	26.83	16.94	16.95		15.12	18.78	LOS_C	3	14.55	99.23
1	3600-7200	50-461: Ballarat Rd  Western Hwy@7.1-215: Caroline Springs Blvd@5.8	461	215	299	290	0	5	4	43.52	42.90		59.90	68.15	29.58	29.07		43.58	48.66	LOS_D	4	14.55	99.23
1	3600-7200	50-648: Christies Rd@37.8-114: Western Hwy@17.3	648	114	29	24	0	3	2	52.58	52.09		67.54	36.04	43.92	44.11		56.96	22.08	LOS_D	4	28.19	127.42
1	3600-7200	50-648: Christies Rd@37.8-209: Ballarat Rd  Western Hwy@28.7	648	209	64	52	0	5	7	98.21	105.06		97.07	48.13	83.92	90.74		81.10	35.29	LOS_F	6	28.19	127.42
1	3600-7200	50-648: Christies Rd@37.8-215: Caroline Springs Blvd@5.8	648	215	342	326	0	12	2	71.16	71.23		68.44	101.46	58.81	59.00		53.45	84.57	LOS_E	5	28.19	127.42
1	3600-7200	50-649@8.2-283: Christies Rd@7.9	649	283	84	59	0	16	9	2.70	1.35		5.63	6.35	0.38	0.14		0.64	1.52	LOS_A	1	0.20	24.53
1	3600-7200	50-651@22.8-215: Caroline Springs Blvd@5.8	651	215	40	40	0	0	0	0.38	0.38				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	50-652: Caroline Springs Blvd@21.4-114: Western Hwy@17.3	652	114	28	28	0	0	0	69.01	69.01				59.60	59.60				LOS_E	5	10.18	110.26
1	3600-7200	50-652: Caroline Springs Blvd@21.4-209: Ballarat Rd  Western Hwy@28.7	652	209	144	139	0	2	3	5.54	5.45		10.12	6.85	0.50	0.49		2.08	0.00	LOS_A	1	0.00	0.00
1	3600-7200	50-652: Caroline Springs Blvd@21.4-283: Christies Rd@7.9	652	283	166	137	0	16	11	53.23	52.55		52.95	62.83	43.51	43.72		39.69	48.84	LOS_D	4	10.18	110.26
1	3600-7200	50			1942	1792	0	86	60	40.11	39.84		44.91	40.83	31.08	31.00		33.65	29.79	LOS_D	4	9.18	127.42
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-10: Ballarat Rd  Western Hwy@18.5	7	10	27	26	0	1	0	63.34	61.72		105.53		56.10	54.62		94.63		LOS_E	5	6.54	50.67
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-385: Chisholm Dr@11.7	7	385	3	3	0	0	0	86.07	86.07				76.68	76.68				LOS_F	6	6.54	50.67
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-670: Ballarat Rd  Western Hwy@1.4	7	670	44	42	0	1	1	114.43	114.07		95.06	148.80	95.72	95.52		73.77	126.21	LOS_F	6	6.54	50.67
1	3600-7200	51-7: Ballarat Rd  Western Hwy@16.6-671: Panamax Rd@7.5	7	671	0	0	0	0	0											LOS_A		6.54	50.67
1	3600-7200	51-347: Panamax Rd@4.8-10: Ballarat Rd  Western Hwy@18.5	347	10	171	164	0	4	3	100.88	100.22		103.20	134.17	83.37	82.98		78.11	111.82	LOS_F	6	9.79	101.84
1	3600-7200	51-347: Panamax Rd@4.8-385: Chisholm Dr@11.7	347	385	23	23	0	0	0	36.65	36.65				29.09	29.09				LOS_D	4	9.79	101.84
1	3600-7200	51-347: Panamax Rd@4.8-670: Ballarat Rd  Western Hwy@1.4	347	670	85	79	0	4	2	7.47	7.43		8.98	6.17	2.55	2.65		1.87	0.00	LOS_A	1	0.00	0.00
1	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-10: Ballarat Rd  Western Hwy@18.5	360	10	459	426	0	17	16	15.43	15.30		14.22	20.06	10.26	10.35		7.71	10.48	LOS_B	2	8.50	84.98
1	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-385: Chisholm Dr@11.7	360	385	45	41	0	2	2	28.98	29.02		25.13	32.05	17.19	17.86		7.63	12.85	LOS_C	3	8.50	84.98
1	3600-7200	51-360: Ballarat Rd  Western Hwy@55.2-671: Panamax Rd@7.5	360	671	39	37	0	1	1	59.31	58.87		4.56	130.33	51.11	50.72		0.00	116.78	LOS_E	5	8.50	84.98
1	3600-7200	51-673: Chisholm Dr@12.9-10: Ballarat Rd  Western Hwy@18.5	673	10	66	65	0	1	0	4.20	4.26		0.11		1.82	1.85		0.00		LOS_A	1	2.96	42.52
1	3600-7200	51-673: Chisholm Dr@12.9-670: Ballarat Rd  Western Hwy@1.4	673	670	43	42	0	0	1	94.34	94.69			79.27	75.33	75.81			55.06	LOS_F	6	5.27	43.21
1	3600-7200	51-673: Chisholm Dr@12.9-671: Panamax Rd@7.5	673	671	15	15	0	0	0	56.46	56.46				42.37	42.37				LOS_E	5	5.27	43.21
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-10: Ballarat Rd  Western Hwy@18.5	885	10	0	0	0	0	0											LOS_A		12.03	90.30
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-385: Chisholm Dr@11.7	885	385	62	61	0	1	0	67.91	67.78		75.26		57.14	57.07		61.74		LOS_E	5	12.03	90.30
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-670: Ballarat Rd  Western Hwy@1.4	885	670	567	523	0	26	18	21.66	21.93		17.79	19.59	12.29	12.56		8.22	10.28	LOS_C	3	12.03	90.30
1	3600-7200	51-885: Ballarat Rd  Western Hwy@6.9-671: Panamax Rd@7.5	885	671	131	120	0	7	4	20.27	19.20		32.14	31.60	10.65	10.06		18.31	15.20	LOS_C	3	12.03	90.30
1	3600-7200	51			1780	1667	0	65	48	34.13	34.44		26.29	34.11	24.99	25.41		15.97	22.35	LOS_C	3	6.44	101.84
1	3600-7200	52-198: Melton Hwy@69.6-182@11.5	198	182	208	180	0	18	8	2.55	2.36		3.66	3.73	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	52-198: Melton Hwy@69.6-308: Ferris Rd  Melton Hwy@20.5	198	308	314	297	0	12	5	0.56	0.56		0.44	0.85	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	52-339@366.5-200: Melton Hwy@21.7	339	200	150	144	0	3	3	0.26	0.26		0.31	0.28	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	52-339@366.5-308: Ferris Rd  Melton Hwy@20.5	339	308	4	3	0	0	1	21.29	23.00			16.17	13.74	17.12			3.57	LOS_C	3	0.03	5.62
1	3600-7200	52-956: Ferris Rd  Melton Hwy@55.3-182@11.5	956	182	225	201	0	14	10	10.46	10.73		7.17	9.73	3.71	3.89		2.25	2.29	LOS_B	2	6.19	265.85
1	3600-7200	52-956: Ferris Rd  Melton Hwy@55.3-200: Melton Hwy@21.7	956	200	532	489	0	32	10	1.09	1.15		0.22	0.75	0.44	0.48		0.00	0.00	LOS_A	1	2.94	237.00
1	3600-7200	52			1433	1314	0	79	37	2.63	2.60		2.27	4.21	0.79	0.81		0.40	0.72	LOS_A	1	1.83	265.85
1	3600-7200	53-899: Melton Hwy@13.5-199: Melton Hwy@15.7	899	199	0	0	0	0	0											LOS_A		0.23	29.14
1	3600-7200	53-899: Melton Hwy@13.5-301: High St@21.5	899	301	50	49	0	1	0	3.29	3.33		1.53		0.55	0.56		0.00		LOS_A	1	0.23	29.14
1	3600-7200	53-899: Melton Hwy@13.5-305: Melton Hwy@15.3	899	305	357	332	0	19	6	1.76	1.65		2.66	5.03	0.16	0.16		0.14	0.44	LOS_A	1	0.23	29.14
1	3600-7200	53-899: Melton Hwy@13.5-376: High St@36.1	899	376	275	252	0	15	7	3.25	2.98		4.74	9.43	0.17	0.14		0.00	1.63	LOS_A	1	0.23	29.14
1	3600-7200	53-900: High St@7.7-199: Melton Hwy@15.7	900	199	223	217	0	1	3	5.34	5.29		6.18	10.22	1.52	1.49		0.00	5.52	LOS_A	1	1.41	62.12
1	3600-7200	53-900: High St@7.7-301: High St@21.5	900	301	47	47	0	0	0	7.65	7.65				2.82	2.82				LOS_A	1	1.41	62.12
1	3600-7200	53-900: High St@7.7-305: Melton Hwy@15.3	900	305	91	91	0	0	0	8.87	8.87				1.30	1.30				LOS_A	1	1.24	63.40
1	3600-7200	53-900: High St@7.7-376: High St@36.1	900	376	0	0	0	0	0											LOS_A		1.41	62.12
1	3600-7200	53-901: Melton Hwy@7.6-199: Melton Hwy@15.7	901	199	261	225	0	27	9	4.70	4.58		4.97	6.68	0.86	0.87		0.72	1.08	LOS_A	1	1.28	43.26
1	3600-7200	53-901: Melton Hwy@7.6-301: High St@21.5	901	301	6	6	0	0	0	6.54	6.54				0.61	0.61				LOS_A	1	1.28	43.26
1	3600-7200	53-901: Melton Hwy@7.6-305: Melton Hwy@15.3	901	305	0	0	0	0	0											LOS_A		1.28	43.26
1	3600-7200	53-901: Melton Hwy@7.6-376: High St@36.1	901	376	115	115	0	0	0	5.50	5.50				0.91	0.91				LOS_A	1	1.28	43.26
1	3600-7200	53-1241: High St@3.1-199: Melton Hwy@15.7	1241	199	38	35	0	2	1	14.35	14.09		21.74	8.73	7.34	7.57		6.99	0.00	LOS_B	2	0.87	24.22
1	3600-7200	53-1241: High St@3.1-301: High St@21.5	1241	301	0	0	0	0	0											LOS_A		0.87	24.22
1	3600-7200	53-1241: High St@3.1-305: Melton Hwy@15.3	1241	305	7	7	0	0	0	12.59	12.59				6.64	6.64				LOS_B	2	0.87	24.22
1	3600-7200	53-1241: High St@3.1-376: High St@36.1	1241	376	31	31	0	0	0	4.94	4.94				1.61	1.61				LOS_A	1	0.87	24.22
1	3600-7200	53			1501	1407	0	65	26	4.48	4.42		4.73	7.53	0.95	0.96		0.55	1.55	LOS_A	1	0.97	63.40
1	3600-7200	54-526: Ferris Rd@22.5-310@35.3	526	310	19	17	0	2	0	6.60	6.93		3.81		1.81	2.02		0.00		LOS_A	1	0.07	11.86
1	3600-7200	54-526: Ferris Rd@22.5-421: Ferris Rd@15.4	526	421	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	54-526: Ferris Rd@22.5-525: Ferris Rd@18.9	526	525	418	382	0	26	10	0.11	0.12		0.07	0.09	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	54-527: Zone connector@58.2-310@35.3	527	310	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	54-527: Zone connector@58.2-421: Ferris Rd@15.4	527	421	357	319	0	23	15	0.17	0.16		0.26	0.21	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	54-528@5.7-421: Ferris Rd@15.4	528	421	10	7	0	2	1	3.90	4.28		3.07	2.89	0.11	0.16		0.00	0.00	LOS_A	1	0.01	6.07
1	3600-7200	54-528@5.7-525: Ferris Rd@18.9	528	525	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	54			804	725	0	53	26	0.34	0.33		0.41	0.27	0.04	0.05		0.00	0.00	LOS_A	1	0.01	11.86
1	3600-7200	55-68: Mount Cottrell Rd@390.9-320: Western Fwy@25.9	68	320	98	89	0	5	4	0.46	0.46		0.35	0.59	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	55-942: Western Hwy@75.8-69: Mount Cottrell Rd@25.4	942	69	59	56	0	1	2	0.31	0.26		1.19	1.26	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	55-942: Western Hwy@75.8-320: Western Fwy@25.9	942	320	1593	1501	7	65	18	1.15	1.16	0.19	1.24	0.65	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	55			1750	1646	7	71	24	1.08	1.09	0.19	1.18	0.69	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	56-24: Paynes Rd@384.9-537: Western Hwy@24.0	24	537	19	19	0	0	0	0.18	0.18				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	56-536: Western Hwy@83.6-23: Paynes Rd@34.1	536	23	67	67	0	0	0	2.84	2.84				0.00	0.00				LOS_A	1	0.00	0.00
1	3600-7200	56-536: Western Hwy@83.6-537: Western Hwy@24.0	536	537	1634	1539	7	66	20	1.42	1.43	3.07	1.19	1.32	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	56			1720	1625	7	66	20	1.46	1.47	3.07	1.19	1.32	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	57-169: Western Hwy@71.3-168: Western Hwy@12.5	169	168	1195	1024	27	88	54	0.08	0.09	0.03	0.05	0.07	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	57-511: Zone connector@97.7-172: Western Hwy@0.2	511	172	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	57-936: Western Hwy@71.3-172: Western Hwy@0.2	936	172	1701	1606	7	66	20	0.08	0.08	0.15	0.04	0.06	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	57-936: Western Hwy@71.3-512: Zone connector@4.0	936	512	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	57			2896	2630	34	154	74	0.08	0.08	0.05	0.05	0.07	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	58-436@136.8-271: Leakes Rd@61.4	436	271	107	100	0	4	3	3.08	2.97		4.15	5.39	0.50	0.52		0.10	0.45	LOS_A	1	0.24	24.54
1	3600-7200	58-436@136.8-437: Leakes Rd@45.3	436	437	64	56	0	6	2	5.79	6.45		1.45	0.24	1.39	1.59		0.00	0.00	LOS_A	1	0.25	16.81
1	3600-7200	58-600: Leakes Rd@6.4-273@26.5	600	273	94	87	0	5	2	0.96	0.86		2.21	2.12	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	58-600: Leakes Rd@6.4-437: Leakes Rd@45.3	600	437	156	140	0	6	9	0.27	0.28		0.25	0.07	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	58-1263: Leakes Rd@41.8-271: Leakes Rd@61.4	1263	271	244	221	1	11	10	0.13	0.14	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.05	11.88
1	3600-7200	58-1263: Leakes Rd@41.8-273@26.5	1263	273	80	71	0	4	5	1.73	1.80		0.95	1.36	0.11	0.13		0.00	0.00	LOS_A	1	0.05	11.88
1	3600-7200	58			745	675	1	36	31	1.35	1.38	0.00	1.20	0.91	0.20	0.22	0.00	0.01	0.04	LOS_A	1	0.13	24.54
1	3600-7200	59-271: Leakes Rd@243.2-401: Leakes Rd@29.0	271	401	351	321	1	15	13	0.04	0.04	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	59-443@92.7-270: Leakes Rd@21.8	443	270	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	59-443@92.7-442@13.5	443	442	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	59-605: Leakes Rd@50.0-270: Leakes Rd@21.8	605	270	250	227	0	11	11	0.22	0.11		0.40	0.76	0.00	0.00		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	59-605: Leakes Rd@50.0-442@13.5	605	442	0	0	0	0	0											LOS_A		0.00	0.00
1	3600-7200	59			601	548	1	26	24	0.12	0.07	0.00	0.22	0.35	0.00	0.00	0.00	0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	60-604: Leakes Rd@15.4-398: Taylors Rd@22.2	604	398	43	43	0	0	0	2.58	2.58				0.12	0.12				LOS_A	1	0.00	0.00
1	3600-7200	60-604: Leakes Rd@15.4-402: Leakes Rd@24.4	604	402	70	60	0	4	6	24.90	25.49		21.69	21.15	15.22	15.90		12.68	10.14	LOS_C	3	2.01	26.21
1	3600-7200	60-606: Leakes Rd@69.8-402: Leakes Rd@24.4	606	402	180	167	0	7	5	0.38	0.37		0.45	0.41	0.00	0.01		0.00	0.00	LOS_A	1	0.00	0.00
1	3600-7200	60-607: Taylors Rd@70.4-400: Leakes Rd@76.7	607	400	22	22	0	0	0	57.26	57.26				49.11	49.11				LOS_E	5	1.92	19.40
1	3600-7200	60-938: Leakes Rd@26.8-398: Taylors Rd@22.2	938	398	293	272	0	13	7	10.71	10.53		10.70	18.97	6.05	6.10		3.53	9.48	LOS_B	2	3.50	45.28
1	3600-7200	60-938: Leakes Rd@26.8-400: Leakes Rd@76.7	938	400	58	49	1	2	6	1.80	1.64	0.00	0.00	4.00	0.75	0.65	0.00	0.00	1.96	LOS_A	1	3.50	45.28
1	3600-7200	60			666	613	1	26	24	9.65	9.63	0.00	8.81	11.91	5.96	6.09	0.00	3.72	5.79	LOS_A	1	1.49	45.28
1	3600-7200	61-540@22.7-435: Leakes Rd@19.5	540	435	48	46	0	1	1	0.94	0.88		0.49	4.13	0.13	0.13		0.00	0.00	LOS_A	1	0.02	10.93
1	3600-7200	61-540@22.7-438: Leakes Rd@14.4	540	438	114	103	0	7	4	2.11	2.09		2.98	1.00	0.29	0.26		0.88	0.00	LOS_A	1	0.12	11.63
1	3600-7200	61-863: Leakes Rd@86.5-265@27.3	863	265	123	119	0	1	3	3.93	3.86		6.81	5.50	0.30	0.31		0.00	0.00	LOS_A	1	0.16	23.31
